sequence,stamp,topic,px,py,pz,qx,qy,qz,qw,image_filename
0,1757094933.246341228,/natnet_ros/lid/pose,-1.899003,0.559673,1.087031,-0.012925,-0.164455,-0.708203,0.686467,
0,1757094933.246374369,/natnet_ros/banana/pose,-1.769000,0.884180,0.920443,-0.067487,0.017230,-0.058150,0.995875,
0,1757094933.246376991,/natnet_ros/block/pose,-1.967854,1.332188,1.081787,-0.002867,0.002506,-0.058529,-0.998278,
0,1757094933.246381998,/natnet_ros/umi_body/pose,-2.365982,0.628020,1.182388,0.805725,-0.008194,0.584955,-0.092569,
0,1757094933.246384621,/natnet_ros/umi_finger/pose,-2.373884,0.562954,1.165974,0.806546,0.007551,0.582976,-0.097800,
0,1757094933.246386051,/natnet_ros/pan/pose,-2.020877,0.891743,0.929001,-0.001636,-0.004550,0.990442,0.137848,
0,1757094933.246388435,/natnet_ros/plate/pose,-1.770483,0.884816,0.909178,0.002221,0.008600,-0.705233,0.708920,
0,1757094933.246379852,/natnet_ros/plate_red/pose,-1.960574,1.348012,1.074898,0.000638,0.001011,0.001016,0.999999,
0,1757094933.246390104,/natnet_ros/dishrack/pose,-1.873268,0.464430,1.101101,0.291987,-0.406127,0.865894,0.005729,
1,1757094933.356834650,/natnet_ros/lid/pose,-1.898988,0.559602,1.087035,-0.013516,-0.164700,-0.708299,0.686297,image_000001_1757094933.244112.jpg
1,1757094933.356853962,/natnet_ros/banana/pose,-1.769001,0.884200,0.920388,-0.068690,0.018066,-0.058107,0.995781,image_000001_1757094933.244112.jpg
1,1757094933.356860161,/natnet_ros/block/pose,-1.967846,1.332143,1.081686,-0.002805,0.004795,-0.060524,-0.998151,image_000001_1757094933.244112.jpg
1,1757094933.357063770,/natnet_ros/umi_body/pose,-2.361370,0.638499,1.187788,0.801317,0.022892,0.590547,-0.092848,image_000001_1757094933.244112.jpg
1,1757094933.357074022,/natnet_ros/umi_finger/pose,-2.365901,0.572682,1.173193,0.803034,0.031688,0.586404,-0.101308,image_000001_1757094933.244112.jpg
1,1757094933.357075691,/natnet_ros/pan/pose,-2.020827,0.891719,0.928970,-0.001402,-0.004377,0.990416,0.138044,image_000001_1757094933.244112.jpg
1,1757094933.357077360,/natnet_ros/plate/pose,-1.770435,0.884806,0.909134,0.001944,0.008902,-0.705290,0.708860,image_000001_1757094933.244112.jpg
1,1757094933.357055187,/natnet_ros/plate_red/pose,-1.960572,1.347985,1.074835,0.000711,0.000486,0.001172,0.999999,image_000001_1757094933.244112.jpg
1,1757094933.357090473,/natnet_ros/dishrack/pose,-1.872926,0.464682,1.101258,0.292507,-0.404753,0.866353,0.006885,image_000001_1757094933.244112.jpg
2,1757094933.446645498,/natnet_ros/lid/pose,-1.899026,0.559575,1.087130,-0.013603,-0.164960,-0.708147,0.686390,image_000002_1757094933.344151.jpg
2,1757094933.446655035,/natnet_ros/banana/pose,-1.769019,0.884198,0.920430,-0.068560,0.017675,-0.058058,0.995799,image_000002_1757094933.344151.jpg
2,1757094933.446656942,/natnet_ros/block/pose,-1.967865,1.332191,1.081777,-0.002938,0.003076,-0.058526,-0.998277,image_000002_1757094933.344151.jpg
2,1757094933.446659565,/natnet_ros/umi_body/pose,-2.355267,0.641555,1.190158,0.802214,0.015557,0.589181,-0.095271,image_000002_1757094933.344151.jpg
2,1757094933.446660519,/natnet_ros/umi_finger/pose,-2.360370,0.576057,1.175128,0.802662,0.024633,0.587015,-0.102662,image_000002_1757094933.344151.jpg
2,1757094933.446661711,/natnet_ros/pan/pose,-2.020895,0.891746,0.929006,-0.001496,-0.004577,0.990433,0.137909,image_000002_1757094933.344151.jpg
2,1757094933.446662664,/natnet_ros/plate/pose,-1.770482,0.884808,0.909178,0.002163,0.008620,-0.705254,0.708899,image_000002_1757094933.344151.jpg
2,1757094933.446658611,/natnet_ros/plate_red/pose,-1.960587,1.348013,1.074888,0.000646,0.001047,0.001035,0.999999,image_000002_1757094933.344151.jpg
2,1757094933.446663618,/natnet_ros/dishrack/pose,-1.872937,0.464636,1.101244,0.292987,-0.405253,0.865962,0.006229,image_000002_1757094933.344151.jpg
3,1757094933.546766043,/natnet_ros/lid/pose,-1.898998,0.559532,1.087053,-0.013952,-0.164408,-0.708308,0.686349,image_000003_1757094933.444170.jpg
3,1757094933.546781540,/natnet_ros/banana/pose,-1.769009,0.884185,0.920403,-0.067795,0.017624,-0.058085,0.995851,image_000003_1757094933.444170.jpg
3,1757094933.546792269,/natnet_ros/block/pose,-1.967860,1.332141,1.081723,-0.002576,0.003467,-0.060754,-0.998143,image_000003_1757094933.444170.jpg
3,1757094933.546809435,/natnet_ros/umi_body/pose,-2.346184,0.641963,1.192175,0.806630,-0.011950,0.585733,-0.078244,image_000003_1757094933.444170.jpg
3,1757094933.546810865,/natnet_ros/umi_finger/pose,-2.355685,0.577038,1.176750,0.807244,-0.003435,0.583821,-0.086590,image_000003_1757094933.444170.jpg
3,1757094933.546812057,/natnet_ros/pan/pose,-2.020864,0.891507,0.928938,-0.001975,-0.003273,0.990479,0.137608,image_000003_1757094933.444170.jpg
3,1757094933.546813250,/natnet_ros/plate/pose,-1.770466,0.884806,0.909166,0.002031,0.008598,-0.705264,0.708890,image_000003_1757094933.444170.jpg
3,1757094933.546807051,/natnet_ros/plate_red/pose,-1.960585,1.347967,1.074815,0.000660,0.000479,0.001174,0.999999,image_000003_1757094933.444170.jpg
3,1757094933.546814203,/natnet_ros/dishrack/pose,-1.873173,0.464216,1.101345,0.296642,-0.402315,0.866089,0.005943,image_000003_1757094933.444170.jpg
4,1757094933.646586657,/natnet_ros/lid/pose,-1.899003,0.559610,1.087096,-0.013390,-0.164675,-0.708143,0.686466,image_000004_1757094933.544162.jpg
4,1757094933.646599054,/natnet_ros/banana/pose,-1.768986,0.884139,0.920463,-0.067376,0.017283,-0.058329,0.995871,image_000004_1757094933.544162.jpg
4,1757094933.646600962,/natnet_ros/block/pose,-1.967835,1.332193,1.081772,-0.003102,0.002795,-0.058622,-0.998272,image_000004_1757094933.544162.jpg
4,1757094933.646603823,/natnet_ros/umi_body/pose,-2.336684,0.650969,1.192269,0.812061,-0.010642,0.575733,-0.094743,image_000004_1757094933.544162.jpg
4,1757094933.646605015,/natnet_ros/umi_finger/pose,-2.345176,0.586476,1.175137,0.813494,-0.000415,0.572320,-0.103328,image_000004_1757094933.544162.jpg
4,1757094933.646605968,/natnet_ros/pan/pose,-2.020882,0.891647,0.928970,-0.001874,-0.003949,0.990454,0.137774,image_000004_1757094933.544162.jpg
4,1757094933.646606922,/natnet_ros/plate/pose,-1.770462,0.884806,0.909183,0.002135,0.008577,-0.705221,0.708932,image_000004_1757094933.544162.jpg
4,1757094933.646602631,/natnet_ros/plate_red/pose,-1.960572,1.348006,1.074897,0.000635,0.000931,0.001034,0.999999,image_000004_1757094933.544162.jpg
4,1757094933.646607637,/natnet_ros/dishrack/pose,-1.872915,0.464623,1.101235,0.292795,-0.404911,0.866185,0.006428,image_000004_1757094933.544162.jpg
5,1757094933.747411013,/natnet_ros/lid/pose,-1.898976,0.559598,1.087029,-0.013378,-0.164737,-0.708259,0.686332,image_000005_1757094933.644171.jpg
5,1757094933.747423172,/natnet_ros/banana/pose,-1.768991,0.884177,0.920404,-0.068106,0.017685,-0.058110,0.995827,image_000005_1757094933.644171.jpg
5,1757094933.747424841,/natnet_ros/block/pose,-1.967812,1.332187,1.081747,-0.002855,0.002767,-0.058482,-0.998281,image_000005_1757094933.644171.jpg
5,1757094933.747427940,/natnet_ros/umi_body/pose,-2.327050,0.659067,1.191723,0.823791,-0.033143,0.552982,-0.120337,image_000005_1757094933.644171.jpg
5,1757094933.747428894,/natnet_ros/umi_finger/pose,-2.336786,0.595869,1.170792,0.825603,-0.023716,0.548732,-0.129269,image_000005_1757094933.644171.jpg
5,1757094933.747430086,/natnet_ros/pan/pose,-2.020838,0.891716,0.928981,-0.001512,-0.004480,0.990420,0.138008,image_000005_1757094933.644171.jpg
5,1757094933.747431040,/natnet_ros/plate/pose,-1.770450,0.884812,0.909171,0.002089,0.008622,-0.705223,0.708930,image_000005_1757094933.644171.jpg
5,1757094933.747426987,/natnet_ros/plate_red/pose,-1.960573,1.347985,1.074839,0.000697,0.000522,0.001155,0.999999,image_000005_1757094933.644171.jpg
5,1757094933.747431993,/natnet_ros/dishrack/pose,-1.873181,0.464203,1.101309,0.296180,-0.402396,0.866211,0.005748,image_000005_1757094933.644171.jpg
6,1757094933.847759485,/natnet_ros/lid/pose,-1.898987,0.559590,1.087001,-0.013255,-0.164408,-0.708316,0.686354,image_000006_1757094933.744158.jpg
6,1757094933.847771883,/natnet_ros/banana/pose,-1.768983,0.884168,0.920453,-0.067450,0.017364,-0.058273,0.995868,image_000006_1757094933.744158.jpg
6,1757094933.847774267,/natnet_ros/block/pose,-1.967836,1.332185,1.081766,-0.003052,0.002700,-0.058453,-0.998282,image_000006_1757094933.744158.jpg
6,1757094933.847778559,/natnet_ros/umi_body/pose,-2.311471,0.666733,1.197847,0.827426,-0.038515,0.550579,-0.103660,image_000006_1757094933.744158.jpg
6,1757094933.847779751,/natnet_ros/umi_finger/pose,-2.323028,0.603067,1.178883,0.829108,-0.029379,0.547333,-0.110198,image_000006_1757094933.744158.jpg
